# navg: 167
# mode: data
# columns: [locked, adc]
03E7FC18 0109F9C6
03E7FC18 0109F8CF
03E7FC18 0109F930
03E7FC18 0109FAAE
03E7FC18 0109FEFF
03E7FC18 010A0464
03E7FC18 010A06E1
03E7FC18 010A0877
03E7FC18 010A08DE
03E7FC18 010A090F
03E7FC18 010A09D4
03E7FC18 010A08ED
03E7FC18 010A0844
03E7FC18 010A06B6
03E7FC18 010A0490
03E7FC18 010A03A2
03E7FC18 010A01BA
03E7FC18 010A000F
03E7FC18 0109FD99
03E7FC18 0109FAEC
03E7FC18 0109F8E5
03E7FC18 0109F797
03E7FC18 0109F5FE
03E7FC18 0109F4DB
03E7FC18 0109F2F9
03E7FC18 0109F450
03E7FC18 0109F884
03E7FC18 0109FB4D
03E7FC18 010A004E
03E7FC18 010A004F
03E7FC18 0109F926
03E7FC18 0109F21B
03E7FC18 0109F068
03E7FC18 0109F00F
03E7FC18 0109EE02
03E7FC18 0109ECC0
03E7FC18 0109EE27
03E7FC18 0109EF36
03E7FC18 0109EFD6
03E7FC18 0109F10B
03E7FC18 0109EFB7
03E7FC18 0109EF8D
03E7FC18 0109ED96
03E7FC18 0109EC05
03E7FC18 0109EC3B
03E7FC18 0109ED1B
03E7FC18 0109EED8
03E7FC18 0109F128
03E7FC18 0109F201
03E7FC18 0109F3A5
03E7FC18 0109F4A9
03E7FC18 0109F539
03E7FC18 0109F5A7
03E7FC18 0109F63A
03E7FC18 0109F69C
03E7FC18 0109F857
03E7FC18 0109F988
03E7FC18 0109FABF
03E7FC18 0109FB66
03E7FC18 0109FB55
03E7FC18 0109FCA4
03E7FC18 0109FC92
03E7FC18 0109FC42
03E7FC18 0109FCD5
03E7FC18 0109FE54
03E7FC18 0109FEF5
03E7FC18 0109FF62
03E7FC18 0109FFAE
03E7FC18 010A00FB
03E7FC18 010A013C
03E7FC18 010A00B0
03E7FC18 010A01FF
03E7FC18 010A0297
03E7FC18 010A0271
03E7FC18 010A0219
03E7FC18 010A016F
03E7FC18 010A00F6
03E7FC18 010A0151
03E7FC18 010A01ED
03E7FC18 010A0116
03E7FC18 010A018D
03E7FC18 010A00AE
03E7FC18 010A0109
03E7FC18 010A00A5
03E7FC18 010A009B
03E7FC18 010A00B6
03E7FC18 010A0009
03E7FC18 010A0031
03E7FC18 0109FFE3
03E7FC18 010A002C
03E7FC18 0109FFB2
03E7FC18 0109FFE1
03E7FC18 0109FF40
03E7FC18 0109FFC6
03E7FC18 0109FFC4
03E7FC18 010A0011
03E7FC18 010A0034
03E7FC18 010A008F
03E7FC18 010A00B9
03E7FC18 010A0039
03E7FC18 010A00D3
03E7FC18 010A010A
03E7FC18 010A0178
03E7FC18 010A015F
03E7FC18 010A0178
03E7FC18 010A01B3
03E7FC18 010A011C
03E7FC18 010A0294
03E7FC18 010A02B4
03E7FC18 010A0295
03E7FC18 010A02D1
03E7FC18 010A0221
03E7FC18 010A0270
03E7FC18 010A0259
03E7FC18 010A0180
03E7FC18 010A0201
03E7FC18 010A0140
03E7FC18 010A014D
03E7FC18 010A00AD
03E7FC18 010A006C
03E7FC18 010A0088
03E7FC18 0109FFFC
03E7FC18 010A00A4
03E7FC18 010A00EA
03E7FC18 010A010B
03E7FC18 010A0158
03E7FC18 010A01A7
03E7FC18 010A0155
03E7FC18 010A0199
03E7FC18 010A0254
03E7FC18 010A018F
03E7FC18 010A0156
03E7FC18 010A0103
03E7FC18 010A01AA
03E7FC18 010A01E7
03E7FC18 010A01B9
03E7FC18 010A0254
03E7FC18 010A0221
03E7FC18 010A0208
03E7FC18 010A020E
03E7FC18 010A0210
03E7FC18 010A02DA
03E7FC18 010A02D6
03E7FC18 010A02D4
03E7FC18 010A022E
03E7FC18 010A0299
03E7FC18 010A0269
03E7FC18 010A0209
03E7FC18 010A01F3
03E7FC18 010A017B
03E7FC18 010A0259
03E7FC18 010A0238
03E7FC18 010A0175
03E7FC18 010A013B
03E7FC18 010A0192
03E7FC18 010A01A8
03E7FC18 010A018B
03E7FC18 010A017B
03E7FC18 010A0091
03E7FC18 010A004B
03E7FC18 010A002F
03E7FC18 0109FF54
03E7FC18 0109FF5A
03E7FC18 010A000C
03E7FC18 010A005A
03E7FC18 0109FFCB
03E7FC18 0109FFA1
03E7FC18 0109FED0
03E7FC18 0109FE73
03E7FC18 0109FE7A
03E7FC18 0109FE75
03E7FC18 0109FE08
03E7FC18 0109FEC6
03E7FC18 0109FD93
03E7FC18 0109FD3D
03E7FC18 0109FDEA
03E7FC18 0109FE68
03E7FC18 0109FE9D
03E7FC18 0109FE84
03E7FC18 0109FE9A
03E7FC18 0109FDD7
03E7FC18 0109FE8F
03E7FC18 0109FE82
03E7FC18 0109FC8C
03E7FC18 0109FD69
03E7FC18 0109FD68
03E7FC18 0109FDD2
03E7FC18 0109FDC8
03E7FC18 0109FE16
03E7FC18 0109FE31
03E7FC18 0109FDB5
03E7FC18 0109FD81
03E7FC18 0109FDB3
03E7FC18 0109FDD3
03E7FC18 0109FDC0
03E7FC18 0109FE4C
03E7FC18 0109FE59
03E7FC18 0109FE7E
03E7FC18 0109FEDC
03E7FC18 0109FEB9
03E7FC18 0109FDE7
03E7FC18 0109FEE7
03E7FC18 010A0239
03E7FC18 010A027C
03E7FC18 010A0196
03E7FC18 010A00E5
03E7FC18 010A00C9
03E7FC18 010A0151
03E7FC18 0109FFFF
03E7FC18 0109FFFD
03E7FC18 010A001B
03E7FC18 010A0031
03E7FC18 0109FFE5
03E7FC18 0109FFA2
03E7FC18 0109FEF1
03E7FC18 0109FEA0
03E7FC18 010A0011
03E7FC18 010A012F
03E7FC18 010A0036
03E7FC18 0109FFBD
03E7FC18 0109FFF5
03E7FC18 010A005D
03E7FC18 0109FFB0
03E7FC18 0109FF4D
03E7FC18 0109FF1A
03E7FC18 0109FEC8
03E7FC18 0109FEA9
03E7FC18 0109FEB2
03E7FC18 0109FEB2
03E7FC18 0109FE16
03E7FC18 0109FE08
03E7FC18 0109FE50
03E7FC18 0109FD83
03E7FC18 0109FCD5
03E7FC18 0109FBBC
03E7FC18 0109FAB9
03E7FC18 0109FB4A
03E7FC18 0109FA8B
03E7FC18 0109F8DF
03E7FC18 0109F373
03E7FC18 0109F0CB
03E7FC18 0109F58D
03E7FC18 0109F667
03E7FC18 0109F780
03E7FC18 0109F72C
03E7FC18 0109F80F
03E7FC18 0109F92F
03E7FC18 0109F9A0
03E7FC18 0109F9DF
03E7FC18 0109F9E0
03E7FC18 0109F9ED
03E7FC18 0109FA35
03E7FC18 0109FA60
03E7FC18 0109FAC6
03E7FC18 0109F97A
03E7FC18 0109FA4C
03E7FC18 0109FABC
03E7FC18 0109FB37
03E7FC18 0109FB30
03E7FC18 0109FB9E
03E7FC18 0109FBD5
03E7FC18 0109FC05
03E7FC18 0109FB4E
03E7FC18 0109FAAE
03E7FC18 0109FA45
03E7FC18 0109F9CC
03E7FC18 0109FA75
03E7FC18 0109FA1B
03E7FC18 0109FA2B
03E7FC18 0109F993
03E7FC18 0109F9A2
03E7FC18 0109F999
03E7FC18 0109F869
03E7FC18 0109F895
03E7FC18 0109F8EA
03E7FC18 0109F80C
03E7FC18 0109F814
03E7FC18 0109F838
03E7FC18 0109F8F8
03E7FC18 0109F8B7
03E7FC18 0109F92B
03E7FC18 0109F93A
03E7FC18 0109F989
03E7FC18 0109F960
03E7FC18 0109FA42
03E7FC18 0109FA24
03E7FC18 0109F9F6
03E7FC18 0109FA55
03E7FC18 0109FADA
03E7FC18 0109FAC7
03E7FC18 0109FAF7
03E7FC18 0109F9EC
03E7FC18 0109FA0A
03E7FC18 0109F950
03E7FC18 0109F94D
03E7FC18 0109F94A
03E7FC18 0109F950
03E7FC18 0109F906
03E7FC18 0109F99E
03E7FC18 0109F9A8
03E7FC18 0109FA0B
03E7FC18 0109FA86
03E7FC18 0109FA8D
03E7FC18 0109FAD0
03E7FC18 0109FA42
03E7FC18 0109FAD0
03E7FC18 0109FB2E
03E7FC18 0109FBC6
03E7FC18 0109FB3C
03E7FC18 0109FB1D
03E7FC18 0109FA1E
03E7FC18 0109F985
03E7FC18 0109FA48
03E7FC18 0109FAB4
03E7FC18 0109FA87
03E7FC18 0109FA78
03E7FC18 0109F9CF
03E7FC18 0109F8C9
03E7FC18 0109F8FB
03E7FC18 0109F8BB
03E7FC18 0109F991
03E7FC18 0109F8DA
03E7FC18 0109FA6E
03E7FC18 0109FAAC
03E7FC18 0109FA56
03E7FC18 0109FA72
03E7FC18 0109FACF
03E7FC18 0109FA85
03E7FC18 0109FB62
03E7FC18 0109FB04
03E7FC18 0109FAEC
03E7FC18 0109FB69
03E7FC18 0109FACA
03E7FC18 0109FACE
03E7FC18 0109FACB
03E7FC18 0109FBBD
03E7FC18 0109FC44
03E7FC18 0109FBE8
03E7FC18 0109FCBC
03E7FC18 0109FCAD
03E7FC18 0109FC9A
03E7FC18 0109FDB9
03E7FC18 0109FCEC
03E7FC18 0109FD04
03E7FC18 0109FC89
03E7FC18 0109FC6C
03E7FC18 0109FC96
03E7FC18 0109FC44
03E7FC18 0109FC66
03E7FC18 0109FB87
03E7FC18 0109FBDF
03E7FC18 0109FC3E
03E7FC18 0109FAA2
03E7FC18 0109FAEC
03E7FC18 0109FAD9
03E7FC18 0109FB7D
03E7FC18 0109FB5C
03E7FC18 0109FB63
03E7FC18 0109FB33
03E7FC18 0109FBA0
03E7FC18 0109FB30
03E7FC18 0109FB6F
03E7FC18 0109FC45
03E7FC18 0109FC09
03E7FC18 0109FC0C
03E7FC18 0109FB9E
03E7FC18 0109FC08
03E7FC18 0109FC2F
03E7FC18 0109FC1E
03E7FC18 0109FBEB
03E7FC18 0109FC34
03E7FC18 0109FD57
03E7FC18 0109FC2B
03E7FC18 0109FC5F
03E7FC18 0109FB84
03E7FC18 0109FB28
03E7FC18 0109FA87
03E7FC18 0109FA8E
03E7FC18 0109FAF6
03E7FC18 0109FAA6
03E7FC18 0109FA3D
03E7FC18 0109FA30
03E7FC18 0109FA8C
03E7FC18 0109F9A1
03E7FC18 0109FA59
03E7FC18 0109F949
03E7FC18 0109F9C0
03E7FC18 0109F8B5
03E7FC18 0109F8A0
03E7FC18 0109F99A
03E7FC18 0109F8F1
03E7FC18 0109F9CE
03E7FC18 0109F970
03E7FC18 0109F90C
03E7FC18 0109F878
03E7FC18 0109F904
03E7FC18 0109F8A0
03E7FC18 0109F8D5
03E7FC18 0109F8CE
03E7FC18 0109F93A
03E7FC18 0109F908
03E7FC18 0109F904
03E7FC18 0109F8D0
03E7FC18 0109F962
03E7FC18 0109FA57
03E7FC18 0109FB19
03E7FC18 0109FB8E
03E7FC18 0109FC39
03E7FC18 0109FC96
